Region,Date,Actual,Predicted,Delta
Totals,3/29/2016,797375.03,794949.87,0.30%
West,3/29/2016,22446.65,23369.83,4.11%
Coast,3/30/2016,249062.14,239070.07,4.01%
East,3/30/2016,29848.97,27562.89,7.66%
FarWest,3/30/2016,49063.60,47703.68,2.77%
North,3/30/2016,17069.34,16779.15,1.70%
NorthCentral,3/30/2016,259619.60,248595.40,4.25%
South,3/30/2016,72243.40,68298.49,5.46%
SouthCentral,3/30/2016,132732.78,126969.30,4.34%
Totals,3/30/2016,833549.28,797931.07,4.27%
West,3/30/2016,23909.37,22952.11,4.00%
Coast,3/31/2016,273923.78,243174.33,11.23%
East,3/31/2016,31215.60,27163.61,12.98%
FarWest,3/31/2016,47413.02,48256.39,1.78%
North,3/31/2016,16214.94,17003.44,4.86%
NorthCentral,3/31/2016,253758.36,248409.81,2.11%
South,3/31/2016,82651.53,68362.32,17.29%
SouthCentral,3/31/2016,141315.97,124257.93,12.07%
Totals,3/31/2016,869460.01,799013.10,8.10%
West,3/31/2016,22966.75,22385.28,2.53%
Coast,4/1/2016,0.00,234022.97,
East,4/1/2016,0.00,29339.54,
FarWest,4/1/2016,0.00,49948.87,
North,4/1/2016,0.00,17421.79,
NorthCentral,4/1/2016,0.00,256665.99,
South,4/1/2016,0.00,63977.90,
SouthCentral,4/1/2016,0.00,128415.77,
Totals,4/1/2016,0.00,804285.47,
West,4/1/2016,0.00,24492.63,
Coast,4/2/2016,0.00,223360.82,
East,4/2/2016,0.00,27604.42,
FarWest,4/2/2016,0.00,48888.52,
North,4/2/2016,0.00,17209.01,
NorthCentral,4/2/2016,0.00,252157.91,
South,4/2/2016,0.00,62681.00,
SouthCentral,4/2/2016,0.00,127624.18,
Totals,4/2/2016,0.00,783515.20,
West,4/2/2016,0.00,23989.29,
Coast,4/3/2016,0.00,225836.50,
East,4/3/2016,0.00,27014.72,
FarWest,4/3/2016,0.00,47573.95,
North,4/3/2016,0.00,16627.96,
NorthCentral,4/3/2016,0.00,241377.79,
South,4/3/2016,0.00,63562.18,
SouthCentral,4/3/2016,0.00,125311.28,
Totals,4/3/2016,0.00,770755.06,
West,4/3/2016,0.00,23450.59,
Coast,4/4/2016,0.00,237556.10,
East,4/4/2016,0.00,27778.00,
FarWest,4/4/2016,0.00,48178.51,
North,4/4/2016,0.00,17077.09,
NorthCentral,4/4/2016,0.00,251023.06,
South,4/4/2016,0.00,65990.52,
SouthCentral,4/4/2016,0.00,125532.48,
Totals,4/4/2016,0.00,795855.39,
West,4/4/2016,0.00,22719.61,
Coast,4/5/2016,0.00,237347.99,
East,4/5/2016,0.00,27626.21,
FarWest,4/5/2016,0.00,47990.96,
North,4/5/2016,0.00,16894.76,
NorthCentral,4/5/2016,0.00,249959.67,
South,4/5/2016,0.00,65509.63,
SouthCentral,4/5/2016,0.00,125343.53,
Totals,4/5/2016,0.00,793212.44,
West,4/5/2016,0.00,22539.68,
Coast,4/6/2016,0.00,236224.79,
East,4/6/2016,0.00,27296.49,
FarWest,4/6/2016,0.00,48003.79,
North,4/6/2016,0.00,16887.02,
NorthCentral,4/6/2016,0.00,249778.48,
South,4/6/2016,0.00,66527.27,
SouthCentral,4/6/2016,0.00,123258.64,
Totals,4/6/2016,0.00,790570.26,
West,4/6/2016,0.00,22593.79,
Coast,4/7/2016,0.00,239133.17,
East,4/7/2016,0.00,28119.79,
FarWest,4/7/2016,0.00,48152.86,
North,4/7/2016,0.00,17066.02,
NorthCentral,4/7/2016,0.00,253395.87,
South,4/7/2016,0.00,65986.90,
SouthCentral,4/7/2016,0.00,125996.21,
Totals,4/7/2016,0.00,801109.16,
West,4/7/2016,0.00,23258.42,
Coast,4/8/2016,0.00,237271.54,
East,4/8/2016,0.00,26942.03,
FarWest,4/8/2016,0.00,47919.46,
North,4/8/2016,0.00,17114.01,
NorthCentral,4/8/2016,0.00,250442.50,
South,4/8/2016,0.00,65879.50,
SouthCentral,4/8/2016,0.00,122520.18,
Totals,4/8/2016,0.00,790900.85,
West,4/8/2016,0.00,22811.65,
Coast,4/9/2016,0.00,226945.60,
East,4/9/2016,0.00,24844.67,
FarWest,4/9/2016,0.00,47005.86,
North,4/9/2016,0.00,16480.19,
NorthCentral,4/9/2016,0.00,238687.54,
South,4/9/2016,0.00,65173.47,
SouthCentral,4/9/2016,0.00,118465.78,
Totals,4/9/2016,0.00,760015.79,
West,4/9/2016,0.00,22412.73,
Coast,4/10/2016,0.00,233468.29,
East,4/10/2016,0.00,24283.29,
FarWest,4/10/2016,0.00,46907.19,
North,4/10/2016,0.00,16419.12,
NorthCentral,4/10/2016,0.00,236728.16,
South,4/10/2016,0.00,66607.03,
SouthCentral,4/10/2016,0.00,120179.97,
Totals,4/10/2016,0.00,766658.31,
West,4/10/2016,0.00,22065.18,
Coast,4/11/2016,0.00,241699.70,
East,4/11/2016,0.00,27638.94,
FarWest,4/11/2016,0.00,47861.89,
North,4/11/2016,0.00,16875.30,
NorthCentral,4/11/2016,0.00,248638.47,
South,4/11/2016,0.00,68605.97,
SouthCentral,4/11/2016,0.00,127899.14,
Totals,4/11/2016,0.00,802030.71,
West,4/11/2016,0.00,22811.28,
Coast,4/12/2016,0.00,241030.67,
East,4/12/2016,0.00,27578.67,
FarWest,4/12/2016,0.00,48451.37,
North,4/12/2016,0.00,17203.90,
NorthCentral,4/12/2016,0.00,249212.52,
South,4/12/2016,0.00,68673.60,
SouthCentral,4/12/2016,0.00,125737.72,
Totals,4/12/2016,0.00,802195.41,
West,4/12/2016,0.00,24306.95,
Coast,4/13/2016,0.00,234097.16,
East,4/13/2016,0.00,27607.79,
FarWest,4/13/2016,0.00,47791.59,
North,4/13/2016,0.00,17077.66,
NorthCentral,4/13/2016,0.00,252161.40,
South,4/13/2016,0.00,66837.64,
SouthCentral,4/13/2016,0.00,126611.80,
Totals,4/13/2016,0.00,795957.70,
West,4/13/2016,0.00,23772.71,
Coast,4/14/2016,0.00,236169.61,
East,4/14/2016,0.00,27775.85,
FarWest,4/14/2016,0.00,47663.97,
North,4/14/2016,0.00,16890.54,
NorthCentral,4/14/2016,0.00,248430.40,
South,4/14/2016,0.00,66368.80,
SouthCentral,4/14/2016,0.00,126444.20,
Totals,4/14/2016,0.00,793657.60,
West,4/14/2016,0.00,23914.23,
Coast,4/15/2016,0.00,236015.90,
East,4/15/2016,0.00,27902.17,
FarWest,4/15/2016,0.00,47671.92,
North,4/15/2016,0.00,16927.74,
NorthCentral,4/15/2016,0.00,249678.23,
South,4/15/2016,0.00,67209.86,
SouthCentral,4/15/2016,0.00,126629.44,
Totals,4/15/2016,0.00,795560.58,
West,4/15/2016,0.00,23525.32,
Coast,4/16/2016,0.00,232978.41,
East,4/16/2016,0.00,24387.58,
FarWest,4/16/2016,0.00,46806.38,
North,4/16/2016,0.00,16500.16,
NorthCentral,4/16/2016,0.00,236797.04,
South,4/16/2016,0.00,67690.75,
SouthCentral,4/16/2016,0.00,121600.61,
Totals,4/16/2016,0.00,768935.58,
West,4/16/2016,0.00,22174.60,
Coast,4/17/2016,0.00,235336.94,
East,4/17/2016,0.00,24402.09,
FarWest,4/17/2016,0.00,47105.46,
North,4/17/2016,0.00,16462.53,
NorthCentral,4/17/2016,0.00,240425.69,
South,4/17/2016,0.00,67836.11,
SouthCentral,4/17/2016,0.00,122772.58,
Totals,4/17/2016,0.00,776559.64,
West,4/17/2016,0.00,22218.23,
Coast,4/18/2016,0.00,236065.78,
East,4/18/2016,0.00,27380.91,
FarWest,4/18/2016,0.00,47984.72,
North,4/18/2016,0.00,16941.26,
NorthCentral,4/18/2016,0.00,249348.83,
South,4/18/2016,0.00,68065.11,
SouthCentral,4/18/2016,0.00,125874.39,
Totals,4/18/2016,0.00,795840.99,
West,4/18/2016,0.00,24179.93,
Coast,4/19/2016,0.00,238954.52,
East,4/19/2016,0.00,27385.81,
FarWest,4/19/2016,0.00,47559.49,
North,4/19/2016,0.00,16834.67,
NorthCentral,4/19/2016,0.00,248112.08,
South,4/19/2016,0.00,68280.28,
SouthCentral,4/19/2016,0.00,125344.83,
Totals,4/19/2016,0.00,795943.94,
West,4/19/2016,0.00,23472.34,
Coast,4/20/2016,0.00,240021.27,
East,4/20/2016,0.00,27396.80,
FarWest,4/20/2016,0.00,47610.16,
North,4/20/2016,0.00,16842.26,
NorthCentral,4/20/2016,0.00,248758.96,
South,4/20/2016,0.00,68569.68,
SouthCentral,4/20/2016,0.00,125935.89,
Totals,4/20/2016,0.00,798569.26,
West,4/20/2016,0.00,23434.29,
Coast,4/21/2016,0.00,235321.04,
East,4/21/2016,0.00,27355.97,
FarWest,4/21/2016,0.00,47533.73,
North,4/21/2016,0.00,17019.27,
NorthCentral,4/21/2016,0.00,249128.35,
South,4/21/2016,0.00,68534.59,
SouthCentral,4/21/2016,0.00,125948.63,
Totals,4/21/2016,0.00,794116.78,
West,4/21/2016,0.00,23275.25,
Coast,4/22/2016,0.00,238067.15,
East,4/22/2016,0.00,27209.35,
FarWest,4/22/2016,0.00,47563.00,
North,4/22/2016,0.00,16959.74,
NorthCentral,4/22/2016,0.00,248429.61,
South,4/22/2016,0.00,67778.77,
SouthCentral,4/22/2016,0.00,123974.11,
Totals,4/22/2016,0.00,793130.21,
West,4/22/2016,0.00,23148.41,
Coast,4/23/2016,0.00,228569.09,
East,4/23/2016,0.00,24688.55,
FarWest,4/23/2016,0.00,46992.84,
North,4/23/2016,0.00,16453.69,
NorthCentral,4/23/2016,0.00,233189.76,
South,4/23/2016,0.00,65469.30,
SouthCentral,4/23/2016,0.00,118208.58,
Totals,4/23/2016,0.00,755553.84,
West,4/23/2016,0.00,21981.99,
Coast,4/24/2016,0.00,224899.20,
East,4/24/2016,0.00,24231.53,
FarWest,4/24/2016,0.00,46767.63,
North,4/24/2016,0.00,16453.61,
NorthCentral,4/24/2016,0.00,236342.55,
South,4/24/2016,0.00,66624.78,
SouthCentral,4/24/2016,0.00,119292.17,
Totals,4/24/2016,0.00,756225.65,
West,4/24/2016,0.00,21614.20,
Coast,4/25/2016,0.00,244620.17,
East,4/25/2016,0.00,27607.57,
FarWest,4/25/2016,0.00,47797.31,
North,4/25/2016,0.00,16837.29,
NorthCentral,4/25/2016,0.00,248707.97,
South,4/25/2016,0.00,68569.46,
SouthCentral,4/25/2016,0.00,128849.01,
Totals,4/25/2016,0.00,805818.70,
West,4/25/2016,0.00,22829.95,
Coast,4/26/2016,0.00,244285.15,
East,4/26/2016,0.00,27800.85,
FarWest,4/26/2016,0.00,47915.05,
North,4/26/2016,0.00,16787.10,
NorthCentral,4/26/2016,0.00,249045.13,
South,4/26/2016,0.00,68261.96,
SouthCentral,4/26/2016,0.00,129672.63,
Totals,4/26/2016,0.00,806746.40,
West,4/26/2016,0.00,22978.50,
Coast,4/27/2016,0.00,243761.57,
East,4/27/2016,0.00,27308.82,
FarWest,4/27/2016,0.00,48148.07,
North,4/27/2016,0.00,16834.69,
NorthCentral,4/27/2016,0.00,248245.16,
South,4/27/2016,0.00,67916.66,
SouthCentral,4/27/2016,0.00,125545.86,
Totals,4/27/2016,0.00,800056.87,
West,4/27/2016,0.00,22296.08,
Coast,4/28/2016,0.00,243662.28,
East,4/28/2016,0.00,27345.62,
FarWest,4/28/2016,0.00,48051.15,
North,4/28/2016,0.00,16856.01,
NorthCentral,4/28/2016,0.00,249243.85,
South,4/28/2016,0.00,68306.78,
SouthCentral,4/28/2016,0.00,127006.90,
Totals,4/28/2016,0.00,803209.68,
West,4/28/2016,0.00,22737.07,
Coast,4/29/2016,0.00,245132.48,
East,4/29/2016,0.00,27886.99,
FarWest,4/29/2016,0.00,47817.01,
North,4/29/2016,0.00,16814.59,
NorthCentral,4/29/2016,0.00,249044.74,
South,4/29/2016,0.00,68366.47,
SouthCentral,4/29/2016,0.00,129501.32,
Totals,4/29/2016,0.00,807481.15,
West,4/29/2016,0.00,22917.52,
Coast,4/30/2016,0.00,237098.62,
East,4/30/2016,0.00,24644.92,
FarWest,4/30/2016,0.00,46953.44,
North,4/30/2016,0.00,16336.15,
NorthCentral,4/30/2016,0.00,232633.32,
South,4/30/2016,0.00,67133.83,
SouthCentral,4/30/2016,0.00,120214.89,
Totals,4/30/2016,0.00,766487.56,
West,4/30/2016,0.00,21472.40,
Coast,5/1/2016,0.00,236092.33,
East,5/1/2016,0.00,24361.49,
FarWest,5/1/2016,0.00,47362.70,
North,5/1/2016,0.00,16456.32,
NorthCentral,5/1/2016,0.00,232916.38,
South,5/1/2016,0.00,67363.05,
SouthCentral,5/1/2016,0.00,120664.47,
Totals,5/1/2016,0.00,766946.20,
West,5/1/2016,0.00,21729.41,
Coast,5/2/2016,0.00,237645.30,
East,5/2/2016,0.00,27508.96,
FarWest,5/2/2016,0.00,48228.88,
North,5/2/2016,0.00,17017.83,
NorthCentral,5/2/2016,0.00,251313.85,
South,5/2/2016,0.00,66739.16,
SouthCentral,5/2/2016,0.00,125370.27,
Totals,5/2/2016,0.00,797917.03,
West,5/2/2016,0.00,24092.75,
Coast,5/3/2016,0.00,235763.80,
East,5/3/2016,0.00,27700.53,
FarWest,5/3/2016,0.00,47774.86,
North,5/3/2016,0.00,17102.79,
NorthCentral,5/3/2016,0.00,252451.27,
South,5/3/2016,0.00,64469.27,
SouthCentral,5/3/2016,0.00,124239.33,
Totals,5/3/2016,0.00,792631.29,
West,5/3/2016,0.00,23129.45,
Coast,5/4/2016,0.00,238197.87,
East,5/4/2016,0.00,27826.08,
FarWest,5/4/2016,0.00,47616.16,
North,5/4/2016,0.00,16977.73,
NorthCentral,5/4/2016,0.00,251284.10,
South,5/4/2016,0.00,65273.80,
SouthCentral,5/4/2016,0.00,125970.36,
Totals,5/4/2016,0.00,795868.74,
West,5/4/2016,0.00,22722.67,
Coast,5/5/2016,0.00,239149.55,
East,5/5/2016,0.00,27297.57,
FarWest,5/5/2016,0.00,47646.61,
North,5/5/2016,0.00,16862.89,
NorthCentral,5/5/2016,0.00,250109.31,
South,5/5/2016,0.00,65835.78,
SouthCentral,5/5/2016,0.00,124617.69,
Totals,5/5/2016,0.00,793955.03,
West,5/5/2016,0.00,22435.61,
Coast,5/6/2016,0.00,238639.25,
East,5/6/2016,0.00,27274.57,
FarWest,5/6/2016,0.00,47814.39,
North,5/6/2016,0.00,16784.61,
NorthCentral,5/6/2016,0.00,248795.48,
South,5/6/2016,0.00,66515.90,
SouthCentral,5/6/2016,0.00,125484.86,
Totals,5/6/2016,0.00,793824.66,
West,5/6/2016,0.00,22515.64,
Coast,5/7/2016,0.00,233462.17,
East,5/7/2016,0.00,24182.26,
FarWest,5/7/2016,0.00,46990.68,
North,5/7/2016,0.00,16347.42,
NorthCentral,5/7/2016,0.00,235130.76,
South,5/7/2016,0.00,66308.70,
SouthCentral,5/7/2016,0.00,120717.42,
Totals,5/7/2016,0.00,764962.45,
West,5/7/2016,0.00,21822.97,
Coast,5/8/2016,0.00,235940.62,
East,5/8/2016,0.00,24216.46,
FarWest,5/8/2016,0.00,46837.06,
North,5/8/2016,0.00,16390.77,
NorthCentral,5/8/2016,0.00,236515.58,
South,5/8/2016,0.00,67250.77,
SouthCentral,5/8/2016,0.00,121940.73,
Totals,5/8/2016,0.00,770885.56,
West,5/8/2016,0.00,21793.60,
Coast,5/9/2016,0.00,244689.49,
East,5/9/2016,0.00,27447.48,
FarWest,5/9/2016,0.00,47740.97,
North,5/9/2016,0.00,16797.55,
NorthCentral,5/9/2016,0.00,248931.34,
South,5/9/2016,0.00,68474.37,
SouthCentral,5/9/2016,0.00,127940.24,
Totals,5/9/2016,0.00,805086.03,
West,5/9/2016,0.00,23064.54,
Coast,5/10/2016,0.00,244846.28,
East,5/10/2016,0.00,27403.34,
FarWest,5/10/2016,0.00,47666.23,
North,5/10/2016,0.00,16790.02,
NorthCentral,5/10/2016,0.00,249090.82,
South,5/10/2016,0.00,68393.10,
SouthCentral,5/10/2016,0.00,127550.57,
Totals,5/10/2016,0.00,804612.99,
West,5/10/2016,0.00,22872.62,
