Region,Date,Actual,Predicted,Delta
North,1/19/2016,21338.64,20412.44,4.34%
NorthCentral,1/19/2016,307092.77,294650.90,4.05%
South,1/19/2016,65869.06,66352.42,0.73%
SouthCentral,1/19/2016,139028.29,136945.96,1.50%
Totals,1/19/2016,887595.49,862638.89,2.81%
West,1/19/2016,27009.29,25549.19,5.41%
Coast,1/20/2016,236283.18,234130.16,0.91%
East,1/20/2016,31202.61,31530.08,1.05%
FarWest,1/20/2016,50344.39,49923.96,0.84%
North,1/20/2016,21804.76,21616.64,0.86%
NorthCentral,1/20/2016,321564.73,314747.24,2.12%
South,1/20/2016,63057.00,64398.52,2.13%
SouthCentral,1/20/2016,135974.36,136841.09,0.64%
Totals,1/20/2016,887907.71,879891.52,0.90%
West,1/20/2016,27676.63,26703.89,3.51%
Coast,1/21/2016,240868.04,235280.86,2.32%
East,1/21/2016,31755.17,31165.22,1.86%
FarWest,1/21/2016,51919.37,50314.78,3.09%
North,1/21/2016,21862.59,20936.14,4.24%
NorthCentral,1/21/2016,327279.47,305039.83,6.80%
South,1/21/2016,62999.38,63227.02,0.36%
SouthCentral,1/21/2016,131539.17,131878.79,0.26%
Totals,1/21/2016,895086.43,864082.13,3.46%
West,1/21/2016,26863.23,26239.50,2.32%
Coast,1/22/2016,273503.66,254626.91,6.90%
East,1/22/2016,36343.53,35172.31,3.22%
FarWest,1/22/2016,51798.22,51060.07,1.43%
North,1/22/2016,22394.18,21462.78,4.16%
NorthCentral,1/22/2016,350666.97,337191.89,3.84%
South,1/22/2016,66461.71,69006.80,3.83%
SouthCentral,1/22/2016,152223.24,150402.94,1.20%
Totals,1/22/2016,982107.72,947425.68,3.53%
West,1/22/2016,28716.20,28501.96,0.75%
Coast,1/23/2016,261924.82,251466.40,3.99%
East,1/23/2016,34764.59,33397.30,3.93%
FarWest,1/23/2016,49890.74,49307.52,1.17%
North,1/23/2016,21050.38,21087.05,0.17%
NorthCentral,1/23/2016,329748.30,326129.15,1.10%
South,1/23/2016,72280.70,73316.61,1.43%
SouthCentral,1/23/2016,150628.57,147954.97,1.77%
Totals,1/23/2016,947937.67,929444.11,1.95%
West,1/23/2016,27649.55,26785.12,3.13%
Coast,1/24/2016,242784.74,237871.17,2.02%
East,1/24/2016,31257.36,29469.49,5.72%
FarWest,1/24/2016,47074.95,47781.44,1.50%
North,1/24/2016,19268.74,18604.07,3.45%
NorthCentral,1/24/2016,290620.23,280931.00,3.33%
South,1/24/2016,67268.03,67988.55,1.07%
SouthCentral,1/24/2016,137045.24,135634.55,1.03%
Totals,1/24/2016,859932.39,843029.11,1.97%
West,1/24/2016,24613.06,24748.84,0.55%
Coast,1/25/2016,236203.72,234483.32,0.73%
East,1/25/2016,27711.83,28050.74,1.22%
FarWest,1/25/2016,48037.74,48920.60,1.84%
North,1/25/2016,17965.55,17788.39,0.99%
NorthCentral,1/25/2016,259154.42,255142.80,1.55%
South,1/25/2016,62721.47,63895.86,1.87%
SouthCentral,1/25/2016,125483.67,125963.95,0.38%
Totals,1/25/2016,801302.61,799153.34,0.27%
West,1/25/2016,24024.13,24907.66,3.68%
Coast,1/26/2016,241881.59,238691.91,1.32%
East,1/26/2016,31758.03,31942.60,0.58%
FarWest,1/26/2016,52313.83,51581.48,1.40%
North,1/26/2016,20706.42,20184.59,2.52%
NorthCentral,1/26/2016,309422.81,306104.61,1.07%
South,1/26/2016,66452.89,66298.67,0.23%
SouthCentral,1/26/2016,145650.28,142173.64,2.39%
Totals,1/26/2016,897240.02,884661.55,1.40%
West,1/26/2016,29054.15,27684.06,4.72%
Coast,1/27/2016,258879.65,248330.20,4.08%
East,1/27/2016,34661.14,34070.93,1.70%
FarWest,1/27/2016,51612.66,51192.46,0.81%
North,1/27/2016,20769.85,20513.02,1.24%
NorthCentral,1/27/2016,316711.15,313378.33,1.05%
South,1/27/2016,82220.94,76421.48,7.05%
SouthCentral,1/27/2016,156035.01,150142.51,3.78%
Totals,1/27/2016,950225.50,922287.41,2.94%
West,1/27/2016,29335.13,28238.41,3.74%
Coast,1/28/2016,260912.10,252783.35,3.12%
East,1/28/2016,33347.98,33412.22,0.19%
FarWest,1/28/2016,51747.81,50434.93,2.54%
North,1/28/2016,19488.60,19049.33,2.25%
NorthCentral,1/28/2016,300124.44,294892.16,1.74%
South,1/28/2016,79654.95,74251.75,6.78%
SouthCentral,1/28/2016,145671.73,146865.39,0.82%
Totals,1/28/2016,918955.74,898868.76,2.19%
West,1/28/2016,28008.24,27179.56,2.96%
Coast,1/29/2016,246442.37,241148.55,2.15%
East,1/29/2016,29200.83,30537.02,4.58%
FarWest,1/29/2016,49445.65,49004.26,0.89%
North,1/29/2016,17938.42,17778.28,0.89%
NorthCentral,1/29/2016,269749.44,271180.38,0.53%
South,1/29/2016,69190.25,69909.37,1.04%
SouthCentral,1/29/2016,135886.73,136292.16,0.30%
