County,Date,Hour,Predicted
Robertson,2/1/2016,2,9.48
Robertson,2/1/2016,3,9.18
Robertson,2/1/2016,4,9.61
Robertson,2/1/2016,5,9.96
Robertson,2/1/2016,6,10.51
Robertson,2/1/2016,7,12.28
Robertson,2/1/2016,8,13.02
Robertson,2/1/2016,9,12.63
Robertson,2/1/2016,10,13.45
Robertson,2/1/2016,11,13.34
Robertson,2/1/2016,12,13.31
Robertson,2/1/2016,13,13.27
Robertson,2/1/2016,14,13.33
Robertson,2/1/2016,15,13.55
Robertson,2/1/2016,16,13.35
Robertson,2/1/2016,17,13.41
Robertson,2/1/2016,18,13.23
Robertson,2/1/2016,19,14.13
Robertson,2/1/2016,20,14.28
Robertson,2/1/2016,21,13.85
Robertson,2/1/2016,22,12.53
Robertson,2/1/2016,23,11.66
Robertson,2/1/2016,24,11.11
Rusk,2/1/2016,1,31.81
Rusk,2/1/2016,2,30.98
Rusk,2/1/2016,3,30.01
Rusk,2/1/2016,4,31.41
Rusk,2/1/2016,5,32.55
Rusk,2/1/2016,6,34.36
Rusk,2/1/2016,7,40.14
Rusk,2/1/2016,8,42.55
Rusk,2/1/2016,9,41.27
Rusk,2/1/2016,10,43.96
Rusk,2/1/2016,11,43.59
Rusk,2/1/2016,12,43.50
Rusk,2/1/2016,13,43.35
Rusk,2/1/2016,14,43.58
Rusk,2/1/2016,15,44.29
Rusk,2/1/2016,16,43.63
Rusk,2/1/2016,17,43.84
Rusk,2/1/2016,18,43.25
Rusk,2/1/2016,19,46.17
Rusk,2/1/2016,20,46.66
Rusk,2/1/2016,21,45.26
Rusk,2/1/2016,22,40.96
Rusk,2/1/2016,23,38.12
Rusk,2/1/2016,24,36.30
Smith,2/1/2016,1,129.09
Smith,2/1/2016,2,125.73
Smith,2/1/2016,3,121.80
Smith,2/1/2016,4,127.47
Smith,2/1/2016,5,132.09
Smith,2/1/2016,6,139.45
Smith,2/1/2016,7,162.90
Smith,2/1/2016,8,172.67
Smith,2/1/2016,9,167.51
Smith,2/1/2016,10,178.42
