County,Date,Predicted
Carson,12/2/2015,107.28
Castro,12/2/2015,138.86
Chambers,12/2/2015,1329.33
Cherokee,12/2/2015,1076.57
Childress,12/2/2015,126.52
Clay,12/2/2015,185.07
Coke,12/2/2015,144.28
Coleman,12/2/2015,373.79
Collin,12/2/2015,31248.89
Collingsworth,12/2/2015,53.82
Colorado,12/2/2015,625.23
Comal,12/2/2015,3732.54
Comanche,12/2/2015,478.29
Concho,12/2/2015,179.59
Cooke,12/2/2015,691.67
Coryell,12/2/2015,2667.34
Cottle,12/2/2015,25.24
Crane,12/2/2015,514.20
Crockett,12/2/2015,396.04
Crosby,12/2/2015,105.25
Culberson,12/2/2015,235.40
Dallas,12/2/2015,88907.54
Dawson,12/2/2015,1389.19
DeWitt,12/2/2015,624.14
Deaf Smith,12/2/2015,342.55
Delta,12/2/2015,110.78
Denton,12/2/2015,26593.62
Dickens,12/2/2015,39.57
Dimmit,12/2/2015,313.46
Duval,12/2/2015,326.00
Eastland,12/2/2015,641.61
Ector,12/2/2015,15988.63
Edwards,12/2/2015,83.33
Ellis,12/2/2015,29421.97
Erath,12/2/2015,1417.19
Falls,12/2/2015,599.71
Fannin,12/2/2015,602.31
Fayette,12/2/2015,749.36
Fisher,12/2/2015,169.87
Floyd,12/2/2015,106.17
Foard,12/2/2015,22.77
Fort Bend,12/2/2015,23883.77
Franklin,12/2/2015,224.19
Freestone,12/2/2015,417.94
Frio,12/2/2015,523.81
Galveston,12/2/2015,10949.56
Garza,12/2/2015,114.83
Gillespie,12/2/2015,1131.60
Glasscock,12/2/2015,134.11
Goliad,12/2/2015,213.40
Gonzales,12/2/2015,617.45
Gray,12/2/2015,411.21
Grayson,12/2/2015,2204.47
Gregg,12/2/2015,2605.64
Grimes,12/2/2015,574.64
Guadalupe,12/2/2015,4443.35
Hale,12/2/2015,619.56
Hall,12/2/2015,56.14
Hamilton,12/2/2015,289.42
Hardeman,12/2/2015,70.11
Hardin,12/2/2015,1176.34
Harris,12/2/2015,154778.56
Haskell,12/2/2015,102.94
Hays,12/2/2015,5583.25
Henderson,12/2/2015,1676.91
Hidalgo,12/2/2015,23492.20
Hill,12/2/2015,1230.12
Hood,12/2/2015,1903.41
Hopkins,12/2/2015,759.72
Houston,12/2/2015,480.95
Howard,12/2/2015,3807.56
Hudspeth,12/2/2015,333.59
Hunt,12/2/2015,3123.76
Irion,12/2/2015,69.81
Jack,12/2/2015,312.56
Jackson,12/2/2015,513.64
Jeff Davis,12/2/2015,228.97
Jim Hogg,12/2/2015,148.55
Jim Wells,12/2/2015,1168.94
Johnson,12/2/2015,5558.18
Jones,12/2/2015,883.98
Karnes,12/2/2015,449.82
Kaufman,12/2/2015,3926.62
Kendall,12/2/2015,1173.23
Kenedy,12/2/2015,11.31
Kent,12/2/2015,14.01
Kerr,12/2/2015,2242.02
Kimble,12/2/2015,196.78
King,12/2/2015,4.66
Kinney,12/2/2015,156.35
Kleberg,12/2/2015,909.93
Knox,12/2/2015,68.85
La Salle,12/2/2015,211.26
Lamar,12/2/2015,883.74
Lampasas,12/2/2015,893.77
Lavaca,12/2/2015,595.09
Lee,12/2/2015,505.19
Leon,12/2/2015,356.61
Liberty,12/2/2015,1652.11
Limestone,12/2/2015,830.42
Live Oak,12/2/2015,341.77
Llano,12/2/2015,865.11
Loving,12/2/2015,8.96
Lubbock,12/2/2015,5245.96
Lynn,12/2/2015,102.99
Madison,12/2/2015,293.14
Martin,12/2/2015,567.23
Mason,12/2/2015,180.51
Matagorda,12/2/2015,1272.67
Maverick,12/2/2015,1611.89
McCulloch,12/2/2015,363.54
McLennan,12/2/2015,8593.40
McMullen,12/2/2015,22.75
Medina,12/2/2015,1445.23
Menard,12/2/2015,95.18
Midland,12/2/2015,16188.71
Milam,12/2/2015,731.94
Mills,12/2/2015,171.91
Mitchell,12/2/2015,402.43
Montague,12/2/2015,346.45
Montgomery,12/2/2015,18084.95
Motley,12/2/2015,20.59
Nacogdoches,12/2/2015,1381.10
Navarro,12/2/2015,1701.29
Nolan,12/2/2015,669.22
Nueces,12/2/2015,10069.41
Oldham,12/2/2015,36.93
Palo Pinto,12/2/2015,991.79
Parker,12/2/2015,4347.68
Pecos,12/2/2015,1651.04
Polk,12/2/2015,974.54
Potter,12/2/2015,2170.43
Presidio,12/2/2015,724.72
Rains,12/2/2015,233.30
Reagan,12/2/2015,390.08
Real,12/2/2015,149.47
Red River,12/2/2015,222.07
Reeves,12/2/2015,1490.68
Refugio,12/2/2015,206.41
Robertson,12/2/2015,348.97
Rockwall,12/2/2015,3099.65
Runnels,12/2/2015,461.85
Rusk,12/2/2015,1140.45
San Jacinto,12/2/2015,573.13
San Patricio,12/2/2015,1891.53
San Saba,12/2/2015,249.29
Schleicher,12/2/2015,140.22
Scurry,12/2/2015,768.37
Shackelford,12/2/2015,118.04
Smith,12/2/2015,4628.35
Somervell,12/2/2015,306.90
Starr,12/2/2015,1779.58
Stephens,12/2/2015,332.01
Sterling,12/2/2015,59.39
Stonewall,12/2/2015,25.03
Sutton,12/2/2015,176.13
Swisher,12/2/2015,135.28
Tarrant,12/2/2015,68670.91
Taylor,12/2/2015,5992.49
Terrell,12/2/2015,96.29
Throckmorton,12/2/2015,56.76
Titus,12/2/2015,687.48
